"Asset ID","Asset Name","Asset Type","Image","Serial Number","Company","Location","RW cycle","Status","FSA","Remarks/Purpose","Stylus ID","Warranty End","SAP Asset No","Repair History","Latitude","Longitude","Date Added","Last Activity","Group","Image URL",
"L037","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9EJ6","AATC","DMR","10","Ready","2312","","M17274","2020/11/20","3200036","","","","2018-07-12 09:40:46","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130302.jpg",
"L036","Lenovo Yoga 370","TB-Laptop","INS F10D-1","MP1C9GFK","SIA","SIA A350 Locker","9","Ready","2413","Originally CSO spare","M17376","2020/11/20","3200036","","","","2018-07-12 09:39:32","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130301.jpg",
"L035","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9GDY","AATC","Ng KS","14","Ready","2312","","M17274","2020/11/20","3200036","","","","2018-07-12 09:39:07","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130300.jpg",
"L034","Lenovo Yoga 370","TB-Laptop","NIL","MP1C9GHV","AATC","M01-13","11","Retired","2205","BER","M17274","2020/11/20","3200036","Ex Chan KF assigned Additional 45W Type-C Charger issued due to loss Display connector loose","","","2018-07-12 09:38:36","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130299.jpg",
"L033","Lenovo Yoga 370","TB-Laptop","INS F10D-1","MP1C9GEN","SIA","A350 Locker","8","Ready","2413","","M17384","2020/11/20","3200036","[10/11/2023] Reported OEM IGFX 30.0.101.1339 crash w/ error Code 43. Resolved via IGFX 31.0.101.2125.","","","2018-07-12 09:38:04","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130298.jpg",
"L032","Lenovo Yoga 370","TB-Laptop","INS F09A-1","MP1C9GGX","AATC","Isac","11","Retired","2201","(DMG surface Chassis ) Replaced with L120 Additional 65W AC issued","M17376","2020/11/20","","","","","2018-07-12 09:37:27","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130297.jpg",
"L031","Lenovo Yoga 370","TB-Laptop","NIL","MP1C9J7D","AATC","M01-13","9","Retired","2102","BER PARTIAL","M17263","2020/11/20","3200035","Ex-Diamond assigned Dropped in Sim cannot boot up","","","2018-07-12 09:36:13","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130296.jpg",
"L030","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9GF8","ASAP","Capt Michel Menestrot","11","Ready","2312","","M17274","2020/11/20","3200035","","","","2018-07-10 16:25:56","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130065.jpg",
"L029","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9J89","AATC","Dilip","13","Ready","2406","","M17385","2020/11/20","3200036","","","","2018-07-10 16:25:18","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130064.jpg",
"L028","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GGP","AATC","SIN24-5502559","15","Ready","2412","","M17385","2020/11/20","3200036","","","","2018-07-10 16:24:44","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130063.jpg",
"L027","Lenovo Yoga 370","TB-Laptop","INS F10D-1","MP1C9GER","SIA","A350 Locker","7","Ready","2413","","M17274","2020/11/20","","","","","2018-07-10 16:24:09","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130062.jpg",
"L026","Lenovo Yoga 370","TB-Laptop","NIL","MP1C9GJ8","AATC","M01-13","10","Retired","2210","BER PARTIAL","M17385","2020/11/20","3200036","2020/8/5 - LCD replaced (dim display issue) 2021/10/21 - Retired due to screen damage, BER  2022/06.20 - Swap LCD screen with L118        2022/10/11 - Screen damage","","","2018-07-10 16:23:14","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130061.jpg",
"L025","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9J83","AATC","SIN24-2502612","10","Ready","2412","","M17274","2020/11/20","3200036","Ex DMR assigned Display issue","","","2018-07-10 16:07:02","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130060.jpg",
"L024","Lenovo Yoga 370","TB-Laptop","INS F12A-3","MP1C9GG6","AATC","M01-13","12","Ready","2408","","M17274","2020/11/20","3200036","","","","2018-07-10 16:03:55","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130059.jpg",
"L023","Lenovo Yoga 370","TB-Laptop","INS F04A or lower","MP1C9GFE","AATC","Boris","1","TOG","","","M17376","2020/11/20","","","","","2018-07-10 16:03:21","In Maintenance","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130058.jpg",
"L022","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9EHT","AATC","Don Mishra","9","Ready","2403","","M17385","2020/11/20","3200036","","","","2018-07-10 16:01:32","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130057.jpg",
"L021","Lenovo Yoga 370","TB-Laptop","INS F10D-1","MP1C9GJ5","SIA","A350 Locker","7","Ready","2413","","M17385","2020/11/20","","","","","2018-07-10 16:00:03","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130056.jpg",
"L020","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9EHV","AATC","SIN24-2502612","17","Ready","2412","","M17272","2020/11/20","","","","","2018-07-10 14:56:26","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130055.jpg",
"L019","Lenovo Yoga 370","TB-Laptop","TRN F12A-1","MP1C9J78","AATC","M01-13","10","Ready","2403.1","","M17385","2020/11/20","3200035","Display issue resolved - loose cable connector (29/7/2021) Retired from svc due to condition","","","2018-07-10 14:55:49","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130054.jpg",
"L018","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9J7R","AATC","SIN24-2502474","14","Ready","2412","","M17272","2020/11/20","3200036","","","","2018-07-10 14:54:44","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130053.jpg",
"L017","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GG0","AATC","SIN24-5500585","16","Ready","2413","","M17385","2020/11/20","3200036","","","","2018-07-10 14:54:17","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130052.jpg",
"L016","Lenovo Yoga 370","TB-Laptop","DEF","MP1C9J79","AATC","M01-13","1","Ready","","Trollovo","","2020/11/20","","","","","2018-07-10 14:53:19","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130051.jpg",
"L015","Lenovo Yoga 370","TB-Laptop","TRN F11B-1","MP1C9J6Y","AATC","M01-13","17","Ready","2413","","M17274","2020/11/20","3200036","","","","2018-07-10 14:52:29","Checked-in","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130050.jpg",
"L014","Lenovo Yoga 370","TB-Laptop","TRN F11B-1","MP1C9GFW","AATC","M01-13","14","TOG","2311","","M17385","2020/11/20","3200036","","","","2018-07-10 14:51:38","Checked-in","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130049.jpg",
"L013","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GGG","AATC","SIN24-2502615","17","Ready","2411","","M17385","2020/11/20","3200036","","","","2018-07-10 14:33:22","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130047.jpg",
"L011","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9J7N","AATC","SIN24-2502615","17","Ready","2411","","M17263","2020/11/20","3200036","","","","2018-07-10 14:31:14","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130046.jpg",
"L010","Lenovo Yoga 370","TB-Laptop","INS F10D-1","MP1C9GJ3","AATC","M01-13","3","Ready","2210","NO MOVE (MASTER UNIT)","M17274","2020/11/20","","","","","2018-07-10 14:30:25","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130045.jpg",
"L009","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GJB","AATC","SIN24-5500585","17","Ready","2413","","M17424","2020-11-20","3200036","","","","2018-07-10 14:27:49","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130044.jpg",
"L008","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9GGU","AATC","SIN24-5502590","10","Ready","2413","","M17385","2020/11/20","3200036","Long lost since 12 Dec 2017. Found on 17 Apr 2019.    Battery replaced 9 Sep 2019","","","2018-07-10 14:26:38","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130043.jpg",
"L007","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9GHP","AATC","Capt BK Chin","9","Ready","2312","","M17385","2020/11/20","","","","","2018-07-10 14:25:58","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130042.jpg",
"L006","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9GH3","AATC","TJ","14","Ready","2312","","M17274","2020/11/20","","","","","2018-07-10 14:25:27","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130041.jpg",
"L005","Lenovo Yoga 370","TB-Laptop","INS F12A-1","MP1C9EHP","AATC","Vincent","13","Ready","2212","","M17376","2020/11/20","","","","","2018-07-10 14:21:25","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130040.jpg",
"L004","Lenovo Yoga 370","TB-Laptop","TRN F12A-3","MP1C9EJ1","AATC","SIN24-5502590","14","Ready","2413","","M17263","2020/11/20","3200036","","","","2018-07-10 14:18:50","Checked-out","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130039.jpg",
"L003","Lenovo Yoga 370","TB-Laptop","DEF","MP1C9GDU","TLSE","TLSE","1","Ready","","TLSE Demo for ACE 350","M17376","2020/11/20","","","","","2018-07-10 14:18:02","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130038.jpg",
"L002","Lenovo Yoga 370","TB-Laptop","DEF","MP1C9GEJ","TLSE","TLSE","1","Ready","","TLSE","","2020/11/20","","","","","2018-07-10 14:17:26","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130037.jpg",
"L001","Lenovo Yoga 370","TB-Laptop","DEF","MP1C9GE5","AATC","M01-13","2","Ready","NIL","","M17385","2020/11/20","3200036","","","","2018-07-10 14:16:39","Available","TB/Laptops","https://storage.ventipix.com/asset_manager_assets/130036.jpg",
